Country,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom to make life choices,Perceptions of corruption,Generosity,Social support,Year
Kosovo,5.401,0.90145,0.54,0.14396,0.06547,0.27992,0.66062,2016
Turkey,5.389,1.16492,0.64718,0.23889,0.12348,0.04707,0.87717,2016
Indonesia,5.314,0.95104,0.49374,0.39237,0.00322,0.56521,0.87625,2016
Jordan,5.303,0.99673,0.60712,0.36023,0.13297,0.14262,0.86216,2016
Azerbaijan,5.291,1.12373,0.54504,0.35327,0.17914,0.0564,0.76042,2016
Philippines,5.279,0.81217,0.47036,0.54854,0.11757,0.21674,0.87877,2016
China,5.245,1.0278,0.73561,0.44012,0.02745,0.04959,0.79381,2016
Bhutan,5.196,0.8527,0.49759,0.46074,0.1616,0.48546,0.90836,2016
Kyrgyzstan,5.185,0.56044,0.55449,0.40212,0.04762,0.38432,0.95434,2016
Serbia,5.177,1.03437,0.6458,0.15718,0.04339,0.20737,0.81329,2016
Bosnia and Herzegovina,5.163,0.93383,0.70766,0.09511,0.0,0.29889,0.64367,2016
Montenegro,5.161,1.07838,0.63533,0.15111,0.12721,0.17191,0.74173,2016
Dominican Republic,5.155,1.02787,0.57669,0.52259,0.12372,0.21286,0.99496,2016
Morocco,5.151,0.84058,0.59471,0.25646,0.08404,0.04053,0.38595,2016
Hungary,5.145,1.24142,0.67608,0.1977,0.04472,0.099,0.93164,2016
Pakistan,5.132,0.68816,0.40306,0.14622,0.1388,0.31185,0.26135,2016
Lebanon,5.129,1.12268,0.76171,0.26228,0.03061,0.23693,0.64184,2016
Portugal,5.123,1.27607,0.79363,0.44727,0.01521,0.11691,0.94367,2016
Macedonia,5.121,1.0193,0.64738,0.27668,0.07047,0.23507,0.78236,2016
Vietnam,5.061,0.74037,0.66157,0.55954,0.11556,0.25075,0.79117,2016
Somaliland Region,5.057,0.25558,0.33108,0.3913,0.36794,0.51479,0.75862,2016
Tunisia,5.045,0.97724,0.59577,0.23553,0.0817,0.03936,0.43165,2016
Greece,5.033,1.24886,0.80029,0.05822,0.04127,0.0,0.75473,2016
Tajikistan,4.996,0.48835,0.53119,0.43408,0.13509,0.25998,0.75602,2016
Mongolia,4.907,0.98853,0.55469,0.35972,0.03285,0.34539,1.08983,2016
Laos,4.876,0.68042,0.38291,0.52168,0.22423,0.43079,0.5497,2016
Nigeria,4.875,0.75216,0.05108,0.27854,0.0305,0.23219,0.64498,2016
Honduras,4.871,0.69429,0.58383,0.26755,0.06906,0.2044,0.75596,2016
Iran,4.813,1.11758,0.64232,0.22544,0.0557,0.38538,0.38857,2016
Zambia,4.795,0.61202,0.23573,0.42662,0.11479,0.17866,0.6376,2016
Nepal,4.793,0.44626,0.50073,0.37012,0.07008,0.3816,0.69699,2016
Palestinian Territories,4.754,0.67024,0.56844,0.17744,0.10613,0.11154,0.71629,2016
Albania,4.655,0.9553,0.73007,0.31866,0.05301,0.1684,0.50163,2016
Bangladesh,4.643,0.54177,0.52989,0.39778,0.12583,0.19132,0.24749,2016
Sierra Leone,4.635,0.36485,0.0,0.30685,0.08196,0.23897,0.628,2016
Iraq,4.575,1.07474,0.51076,0.24856,0.13636,0.19589,0.59205,2016
Namibia,4.574,0.93287,0.34745,0.48614,0.10398,0.07795,0.70362,2016
Cameroon,4.513,0.52497,0.12698,0.42736,0.06126,0.2268,0.62542,2016
Ethiopia,4.508,0.29283,0.34578,0.36703,0.1717,0.29522,0.37932,2016
South Africa,4.459,1.02416,0.18611,0.42483,0.08415,0.13656,0.96053,2016
Sri Lanka,4.415,0.97318,0.62007,0.50817,0.07964,0.46978,0.84783,2016
India,4.404,0.74036,0.45091,0.40285,0.08722,0.25028,0.29247,2016
Myanmar,4.395,0.34112,0.3988,0.42692,0.20243,0.81971,0.69981,2016
Egypt,4.362,0.95395,0.52116,0.18847,0.10393,0.12706,0.49813,2016
Armenia,4.36,0.86086,0.64083,0.14037,0.03616,0.07793,0.62477,2016
Kenya,4.356,0.52267,0.30147,0.40576,0.06686,0.41328,0.7624,2016
Ukraine,4.324,0.87287,0.58628,0.12859,0.01829,0.20363,1.01413,2016
Ghana,4.276,0.63107,0.29681,0.40973,0.0326,0.21203,0.49353,2016
Congo (Kinshasa),4.272,0.05661,0.188,0.15602,0.06075,0.25458,0.80676,2016
